year,days_published,newspaper_name,city,state,total_circulation,county,rucc,rucc_description,metro,latitude,longitude,state_full
2016,7,Lincoln Journal Star,Lincoln,Neb.,42940,Lancaster,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,40.8096,-96.6805,Nebraska
2016,1,Stone County Leader,Mountain View,Ark.,42849,Stone,rural,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",0,35.8639,-92.1043,Arkansas
2016,1,Isthmus,Madison,Wisc.,42768,Dane,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,43.0731,-89.4012,Wisconsin
2016,1,Pitch,Kansas City,Mo.,42500,Jackson,major,Metro - Counties in metro areas of 1 million population or more,1,39.0997,-94.5786,Missouri
2016,1,Chester Progressive,Chester,Calif.,42258,Plumas,rural,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",0,40.3017,-121.234,California
2016,1,Nashville Pride,Nashville,Tenn.,42000,Davidson,major,Metro - Counties in metro areas of 1 million population or more,1,36.1627,-86.7816,Tennessee
2016,1,Herald/Country Market,Bourbonnais,Ill.,42000,Kankakee,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,41.1832,-87.877,Illinois
2016,1,New Monitor,Detroit,Mich.,41877,Wayne,major,Metro - Counties in metro areas of 1 million population or more,1,42.384,-83.1017,Michigan
2016,1,Grand Traverse Insider,Traverse City,Mich.,41875,Grand Traverse,rural,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",0,44.7545,-85.6034,Michigan
2016,7,Press Democrat,Santa Rosa,Calif.,41534,Sonoma,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,38.4468,-122.706,California
2016,1,Barberton Herald,Barberton,Ohio,41418,Summit,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.0096,-81.6037,Ohio
2016,1,Leader The,Lyndhurst,N.J.,41408,Bergen,major,Metro - Counties in metro areas of 1 million population or more,1,40.7966,-74.1102,New Jersey
2016,4,Flint Journal,Flint,Mich.,41385,Genesee,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,43.0236,-83.6921,Michigan
2016,7,Daily Camera/ Sunday Camera,Boulder,Colo.,41324,Boulder,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,40.0274,-105.252,Colorado
2016,1,Gaming Today,Las Vegas,Nev.,41293,Clark,major,Metro - Counties in metro areas of 1 million population or more,1,36.2277,-115.264,Nevada
2016,2,Denison Bulletin,Denison,Iowa,41150,Crawford,rural,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",0,42.016,-95.3528,Iowa
2016,1,Chico News & Review,Chico,Calif.,41113,Butte,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,39.7285,-121.837,California
2016,1,Weekender,Wilkes-Barre,Pa.,41000,Luzerne,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.2459,-75.8813,Pennsylvania
2016,1,Independent Press,Bloomfield,N.J.,40740,Essex,major,Metro - Counties in metro areas of 1 million population or more,1,40.8098,-74.187,New Jersey
2016,2,Los Gatos Weekly Times,Los Gatos,Calif.,40640,Santa Clara,major,Metro - Counties in metro areas of 1 million population or more,1,37.2306,-121.957,California
2016,1,Webster-Kirkwood Times,Webster Groves,Mo.,40503,St. Louis,major,Metro - Counties in metro areas of 1 million population or more,1,38.5866,-90.3544,Missouri
2016,2,Smithfield Herald,Smithfield,N.C.,40438,Johnston,major,Metro - Counties in metro areas of 1 million population or more,1,35.511,-78.3402,North Carolina
2016,1,New Milford Spectrum,New Milford,Conn.,40369,Litchfield,rural,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",0,41.5842,-73.4064,Connecticut
2016,1,Hippo,Manchester,N.H.,40358,Hillsborough,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.9956,-71.4548,New Hampshire
2016,1,Granite City Press-Record Journal,Granite City,Ill.,40335,Madison,major,Metro - Counties in metro areas of 1 million population or more,1,38.7308,-90.1257,Illinois
2016,1,Alive,Columbus,Ohio,40303,Franklin,major,Metro - Counties in metro areas of 1 million population or more,1,39.9612,-82.9988,Ohio
2016,2,Log Newspaper,Irvine,Calif.,40265,Orange,major,Metro - Counties in metro areas of 1 million population or more,1,33.6839,-117.795,California
2016,1,Community News,St Louis,Mo.,40095,St. Louis city,major,Metro - Counties in metro areas of 1 million population or more,1,38.6358,-90.2376,Missouri
2016,1,Roswell Neighbor,Alpharetta,Ga.,40024,Fulton,major,Metro - Counties in metro areas of 1 million population or more,1,34.0704,-84.2738,Georgia
2016,7,New Haven Register,New Haven,Conn.,40016,New Haven,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.3104,-72.9243,Connecticut
2016,1,Charleston City Paper,Charleston,S.C.,40000,Charleston,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,32.7765,-79.9311,South Carolina
2016,1,Good Times Santa Cruz,Santa Cruz,Calif.,40000,Santa Cruz,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,36.9729,-122.031,California
2016,1,Boston's Weekly Dig,Boston,Mass.,40000,Suffolk,major,Metro - Counties in metro areas of 1 million population or more,1,42.3601,-71.0589,Massachusetts
2016,1,North Shore Sunday,Beverly,Mass.,40000,Essex,major,Metro - Counties in metro areas of 1 million population or more,1,42.5582,-70.8432,Massachusetts
2016,1,Metroland,Albany,N.Y.,40000,Albany,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.6526,-73.7562,New York
2016,1,Beverly Hills Weekly,Beverly Hills,Calif.,39975,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,34.0786,-118.402,California
2016,1,Northwest Advance,Walker,Mich.,39931,Kent,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.9857,-85.7443,Michigan
2016,2,Walworth County Sunday,Delavan,Wisc.,39859,Walworth,rural,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",0,42.6284,-88.6322,Wisconsin
2016,1,Enterprise,Plainfield,Ill.,39700,Will,major,Metro - Counties in metro areas of 1 million population or more,1,41.6305,-88.245,Illinois
2016,5,Lake Sun Leader,Camdenton,Mo.,39612,Camden,rural,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",0,38.0121,-92.7502,Missouri
2016,1,Rochester Post,Rochester,Mich.,39402,Oakland,major,Metro - Counties in metro areas of 1 million population or more,1,42.6821,-83.1337,Michigan
2016,1,Budgeteer News,Duluth,Minn.,39294,St. Louis,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,46.782,-92.1195,Minnesota
2016,7,Spartanburg Herald-Journal,Spartanburg,S.C.,39125,Spartanburg,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.9423,-81.9269,South Carolina
2016,7,Journal Star,Peoria,Ill.,39074,Peoria,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,40.7517,-89.6157,Illinois
2016,7,Macomb Daily The,Clinton Township,Mich.,39070,Macomb,major,Metro - Counties in metro areas of 1 million population or more,1,42.585,-82.9182,Michigan
2016,1,Grunion Gazette,Long Beach,Calif.,39017,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,33.8057,-118.161,California
2016,1,South Lake Press,Clermont,Fla.,39006,Lake,major,Metro - Counties in metro areas of 1 million population or more,1,28.5418,-81.7298,Florida
2016,1,Richmond Voice,Richmond,Va.,39000,Richmond city,major,Metro - Counties in metro areas of 1 million population or more,1,37.5407,-77.4361,Virginia
2016,1,Santa Barbara Independent,Santa Barbara,Calif.,38937,Santa Barbara,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.4208,-119.698,California
2016,1,News Transcript,Freehold,N.J.,38930,Monmouth,major,Metro - Counties in metro areas of 1 million population or more,1,40.2594,-74.2754,New Jersey
2016,7,Republican,Springfield,Mass.,38908,Hampden,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.1155,-72.5395,Massachusetts
2016,1,Astoria Times,Queens,N.Y.,38892,Queens,major,Metro - Counties in metro areas of 1 million population or more,1,40.6575,-73.8388,New York
2016,7,Deseret News,West Valley City,Utah,38869,Salt Lake,major,Metro - Counties in metro areas of 1 million population or more,1,40.6888,-112.012,Utah
2016,1,California Voice,San Francisco,Calif.,38840,San Francisco,major,Metro - Counties in metro areas of 1 million population or more,1,37.7597,-122.694,California
2016,7,Gazette,Cedar Rapids,Iowa,38504,Linn,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.9668,-91.6782,Iowa
2016,1,Greenville Journal,Greenville,S.C.,38412,Greenville,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.8369,-82.363,South Carolina
2016,1,Farmington Press,Farmington,Mich.,38251,Oakland,major,Metro - Counties in metro areas of 1 million population or more,1,42.4633,-83.3764,Michigan
2016,1,Metro Times,Detroit,Mich.,38233,Wayne,major,Metro - Counties in metro areas of 1 million population or more,1,42.3314,-83.0458,Michigan
2016,1,East Cobb Neighbor,Marietta,Ga.,38225,Cobb,major,Metro - Counties in metro areas of 1 million population or more,1,33.9536,-84.5425,Georgia
2016,1,Toledo City Paper,Toledo,Ohio,38029,Lucas,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.6639,-83.5552,Ohio
2016,1,Rancho Bernardo News-Journal,Rancho Bernardo,Calif.,38028,San Diego,major,Metro - Counties in metro areas of 1 million population or more,1,33.03,-117.082,California
2016,1,Gambit Weekly,New Orleans,La.,37971,Orleans Parish,major,Metro - Counties in metro areas of 1 million population or more,1,29.9511,-90.0715,Louisiana
2016,7,Press Herald/ Maine Sunday Telegram,Portland,Maine,37956,Cumberland,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,43.6471,-70.1682,Maine
2016,7,Greenville News,Greenville,S.C.,37918,Greenville,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.8369,-82.363,South Carolina
2016,1,Fort Worth Weekly,Fort Worth,Texas,37863,Tarrant,major,Metro - Counties in metro areas of 1 million population or more,1,32.7555,-97.3308,Texas
2016,7,Fayetteville Observer,Fayetteville,N.C.,37858,Cumberland,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,35.0851,-78.9803,North Carolina
2016,1,New American Press,Pensacola,Fla.,37705,Escambia,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,30.4213,-87.2169,Florida
2016,1,Grand Valley Advance,Grandville,Mich.,37667,Kent,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,42.9002,-85.7564,Michigan
2016,1,Los Angeles Downtown News,Los Angeles,Calif.,37615,Los Angeles,major,Metro - Counties in metro areas of 1 million population or more,1,34.1048,-118.411,California
2016,7,Vindicator,Youngstown,Ohio,37587,Mahoning,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.0993,-80.6463,Ohio
2016,7,Times Herald-Record The,Middletown,N.Y.,37540,Orange,major,Metro - Counties in metro areas of 1 million population or more,1,41.4458,-74.4228,New York
2016,7,Staten Island Advance,Staten Island,N.Y.,37517,Richmond,major,Metro - Counties in metro areas of 1 million population or more,1,40.5733,-74.1348,New York
