days_published,newspaper_name,city,state,total_circulation,county,state_full
7,Bluefield Daily Telegraph,Bluefield,W.Va.,13301,Mercer,West Virginia
5,Fulton Sun,Fulton,Mo.,13300,Callaway,Missouri
1,Polk County Itemizer-Observer,Dallas,Ore.,13300,Polk,Oregon
1,Salem Patriot,Salem,N.H.,13266,Rockingham,New Hampshire
7,Hickory Daily Record,Hickory,N.C.,13258,Catawba,North Carolina
1,Macoupin County Journal,Hillsboro,Ill.,13200,Montgomery,Illinois
1,Sun & News,Middleville,Mich.,13195,Barry,Michigan
7,Press-Republican,Plattsburgh,N.Y.,13174,Clinton,New York
7,Times-Call,Longmont,Colo.,13143,Boulder,Colorado
1,Northern Valley Suburbanite,Alpine,N.J.,13116,Bergen,New Jersey
1,Anamosa Journal-Eureka,Anamosa,Iowa,13110,Jones,Iowa
7,Daily Telegram,Adrian,Mich.,13105,Lenawee,Michigan
2,Valley News,Fulton,N.Y.,13105,Oswego,New York
1,Naples Florida Weekly,Naples,Fla.,13102,Collier,Florida
1,Springhill Press & News-Journal,Springhill,La.,13100,Webster Parish,Louisiana
1,Prairie Post,Albion,Ill.,13100,Edwards,Illinois
1,Plant City Courier,Plant City,Fla.,13086,Hillsborough,Florida
1,Plant City Observer,Plant City,Fla.,13086,Hillsborough,Florida
1,Forest Lake Times,Forest Lake,Minn.,13076,Washington,Minnesota
1,Valley Town Crier,McAllen,Texas,13075,Hidalgo,Texas
1,Covina Press Courier Highlander,Covina,Calif.,13075,Los Angeles,California
1,Middletown Transcript,Middletown,Del.,13075,New Castle,Delaware
1,Isanti County News,Cambridge,Minn.,13073,Isanti,Minnesota
7,Bellingham Herald,Bellingham,Wash.,13073,Whatcom,Washington
7,Springfield News-Sun,Springfield,Ohio,13055,Clark,Ohio
6,News and Tribune,New Albany,Ind.,13054,Floyd,Indiana
7,Concord Monitor,Concord,N.H.,13051,Merrimack,New Hampshire
1,Mountain Grove News-Journal,Mountain Grove,Mo.,13050,Wright,Missouri
1,Grant County News and Express,Williamstown,Ky.,13010,Grant,Kentucky
2,Pasadena Citizen,Pasadena,Texas,13000,Harris,Texas
1,West University Examiner,West University Place,Texas,13000,Harris,Texas
1,Richland Beacon-News,Rayville,La.,13000,Richland Parish,Louisiana
2,Houston Home Journal,Perry,Ga.,13000,Houston,Georgia
1,Monday's Pub,Anna,Ill.,13000,Union,Illinois
1,Iron County Today,Cedar City,Utah,13000,Iron,Utah
7,San Ramon Valley Times,San Ramon,Calif.,13000,Contra Costa,California
1,Phoenix The,Brooklyn,N.Y.,13000,Kings,New York
1,Reporter Journal The,Chicago,Ill.,13000,Cook,Illinois
1,Ogle County Life,Oregon,Ill.,13000,Ogle,Illinois
4,Evening News-Mercury,Malden,Mass.,13000,Middlesex,Massachusetts
7,Foster's Daily Democrat/Sunday Citizen,Dover,N.H.,13000,Strafford,New Hampshire
1,Three Forks Herald,Three Forks,Mont.,13000,Gallatin,Montana
1,Waterfront Journal,Jersey City,N.J.,12996,Hudson,New Jersey
7,Daily News The,Jacksonville,N.C.,12982,Onslow,North Carolina
1,Matthews-Mint Hill,Matthews,N.C.,12976,Mecklenburg,North Carolina
1,Fillmore County Journal,Preston,Minn.,12966,Fillmore,Minnesota
1,Sonoma West Times & News,Sebastopol,Calif.,12964,Sonoma,California
1,Romeoville Reporter,Romeoville,Ill.,12964,Will,Illinois
1,Lackawanna Front Page,Lackawanna,N.Y.,12964,Erie,New York
1,Glendora Press Highlander,Glendora,Calif.,12950,Los Angeles,California
1,Amherst Bulletin,Amherst,Mass.,12858,Hampshire,Massachusetts
7,Midland Reporter-Telegram,Midland,Texas,12820,Midland,Texas
6,Times,Ottawa,Ill.,12818,La Salle,Illinois
7,Times-News,Twin Falls,Idaho,12818,Twin Falls,Idaho
1,North Myrtle Beach Times,Myrtle Beach,S.C.,12798,Horry,South Carolina
2,South Hill Enterprise,South Hill,Va.,12791,Mecklenburg,Virginia
1,Enumclaw Courier-Herald,Enumclaw,Wash.,12782,King,Washington
2,Vidorian,Vidor,Texas,12777,Orange,Texas
7,Greeley Daily Tribune,Greeley,Colo.,12776,Weld,Colorado
1,West Life,Westlake,Ohio,12750,Cuyahoga,Ohio
5,Daily Record,Dunn,N.C.,12743,Harnett,North Carolina
7,News Tribune,Jefferson City,Mo.,12735,Cole,Missouri
1,Dakota County Tribune,Burnsville,Minn.,12706,Dakota,Minnesota
3,Standard Journal The,Rexburg,Idaho,12700,Madison,Idaho
7,Gadsden Times,Gadsden,Ala.,12681,Etowah,Alabama
7,Intelligencer/Wheeling News-Register,Wheeling,W.Va.,12681,Ohio,West Virginia
7,Killeen Daily Herald,Killeen,Texas,12645,Bell,Texas
1,Nordonia Hills News Leader,Northfield,Ohio,12641,Summit,Ohio
7,Post-Journal The,Jamestown,N.Y.,12630,Chautauqua,New York
1,Las Cruces Bulletin,Las Cruces,N.M.,12584,Dona Ana,New Mexico
1,South-West Review,South St Paul,Minn.,12566,Dakota,Minnesota
6,Robesonian,Lumberton,N.C.,12562,Robeson,North Carolina
1,Perrysburg Messenger-Journal,Perrysburg,Ohio,12558,Wood,Ohio
1,Holland-Springfield Journal,Perrysburg,Ohio,12558,Wood,Ohio
1,Point & Shoreland Journal,Toledo,Ohio,12558,Lucas,Ohio
6,Daily Register,Oelwein,Iowa,12547,Fayette,Iowa
1,Platte County Citizen,Platte City,Mo.,12542,Platte,Missouri
1,Northeast News,Kansas City,Mo.,12541,Jackson,Missouri
1,Rowland Heights Highlander,Rowland Hts.,Calif.,12540,Los Angeles,California
7,Chronicle-Tribune,Marion,Ind.,12536,Grant,Indiana
7,Brownsville Herald,Brownsville,Texas,12532,Cameron,Texas
1,Farmers Weekly Review,Joliet,Ill.,12525,Will,Illinois
6,Martinsville Bulletin,Martinsville,Va.,12523,Martinsville city,Virginia
7,Laredo Morning Times,Laredo,Texas,12519,Webb,Texas
7,Wausau Daily Herald,Wausau,Wisc.,12506,Marathon,Wisconsin
1,Rayne-Acadian Tribune,Rayne,La.,12505,Acadia Parish,Louisiana
1,Centennial Citizen,Centennial,Colo.,12505,Arapahoe,Colorado
1,Lahaina News,Lahaina,Hawaii,12500,Maui,Hawaii
5,Minden Press-Herald,Minden,La.,12500,Webster Parish,Louisiana
1,White Settlement Bomber News,White Settlement,Texas,12500,Tarrant,Texas
1,Imperial Valley Weekly,Holtville,Calif.,12500,Imperial,California
1,Chickasaw Journal,Houston,Miss.,12500,Chickasaw,Mississippi
3,Forsyth County News,Cumming,Ga.,12500,Forsyth,Georgia
1,Newark Post,Newark,Md.,12500,Worcester,Maryland
1,North Fork Journal,Harrisonburg,Va.,12500,Harrisonburg city,Virginia
1,Shenandoah Journal,Harrisonburg,Va.,12500,Harrisonburg city,Virginia
7,Aspen Daily News,Aspen,Colo.,12500,Pitkin,Colorado
1,Coast Star,Manasquan,N.J.,12500,Monmouth,New Jersey
1,Brooklyn Heights Press & Cobble Hill News,Brooklyn,N.Y.,12500,Kings,New York
1,Everett Independent,Everett,Mass.,12500,Middlesex,Massachusetts
1,Sioux Center News,Sioux Center,Iowa,12500,Sioux,Iowa
1,Free Press,Rockland,Maine,12500,Knox,Maine
1,Country Courier,Barre,Vt.,12500,Washington,Vermont
1,Coronado Eagle & Journal,Coronado,Calif.,12496,San Diego,California
1,Lynden Tribune,Lynden,Wash.,12450,Whatcom,Washington
6,Portsmouth Daily Times,Portsmouth,Ohio,12447,Scioto,Ohio
1,Yardley News,Yardley,Pa.,12445,Bucks,Pennsylvania
1,Bellaire Examiner,Bellaire,Texas,12400,Harris,Texas
2,Your Advantage,Salem,Ind.,12400,Washington,Indiana
1,Pilot-Tribune,Blair,Neb.,12400,Washington,Nebraska
7,Helena Independent-Record,Helena,Mont.,12399,Lewis and Clark,Montana
1,Twin City Weekly,Scottsbluff,Neb.,12397,Scotts Bluff,Nebraska
1,Longboat Observer,Longboat Key,Fla.,12387,Manatee,Florida
1,Dispatch,Blairsville,Pa.,12379,Indiana,Pennsylvania
1,Connect Savannah,Savannah,Ga.,12300,Chatham,Georgia
1,Star Progress,Brea,Calif.,12296,Orange,California
7,Sheboygan Press The,Sheboygan,Wisc.,12284,Sheboygan,Wisconsin
6,Gallup Independent,Gallup,N.M.,12282,McKinley,New Mexico
6,Jersey Journal The,Jersey City,N.J.,12281,Hudson,New Jersey
1,Laurel Leader,Laurel,Md.,12241,Prince Georges,Maryland
7,Bulletin The,Norwich,Conn.,12236,New London,Connecticut
6,Laramie Daily Boomerang,Laramie,Wyo.,12233,Albany,Wyoming
5,York Dispatch,York,Pa.,12227,York,Pennsylvania
1,Belleair Bee,Largo,Fla.,12225,Pinellas,Florida
1,Hollister Free Lance,Hollister,Calif.,12221,San Benito,California
1,St Charles Sun,Batavia,Ill.,12217,Kane,Illinois
1,East Montgomery County Observer,Houston,Texas,12200,Harris,Texas
1,Humble Observer,Humble,Texas,12200,Harris,Texas
1,Parkchester News,Bronx,N.Y.,12200,Bronx,New York
1,Northwest Press,Cincinnati,Ohio,12176,Hamilton,Ohio
5,Sidney Daily News,Sidney,Ohio,12176,Shelby,Ohio
7,News-Times,Danbury,Conn.,12171,Fairfield,Connecticut
3,Cecil Whig,Elkton,Md.,12163,Cecil,Maryland
1,Bettendorf News,Bettendorf,Iowa,12153,Scott,Iowa
7,Aiken Standard,Aiken,S.C.,12149,Aiken,South Carolina
7,Enterprise The,Brockton,Mass.,12135,Plymouth,Massachusetts
6,Centralia Morning Sentinel,Centralia,Ill.,12128,Marion,Illinois
1,El Cerrito Journal The,El Cerrito,Calif.,12118,Contra Costa,California
7,Odessa American,Odessa,Texas,12111,Ector,Texas
1,Tri-Lakes Tribune,Monument,Colo.,12107,El Paso,Colorado
1,Dupont Current,Washington,D.C.,12101,District of Columbia,District of Columbia
2,Panolian,Batesville,Miss.,12100,Panola,Mississippi
1,North Bergen Reporter The,North Bergen,N.J.,12092,Hudson,New Jersey
7,Reporter-Herald,Loveland,Colo.,12074,Larimer,Colorado
1,Burton View,Burton,Mich.,12071,Genesee,Michigan
1,Parsippany Life,Rockaway,N.J.,12060,Morris,New Jersey
5,Diario de Mí©xico Edicií_n USA,New York,N.Y.,12059,Kings,New York
6,Suffolk News-Herald,Suffolk,Va.,12031,Suffolk city,Virginia
5,Banner-Graphic,Greencastle,Ind.,12027,Putnam,Indiana
1,Grosse Pointe News,Grosse Pointe,Mich.,12014,Wayne,Michigan
1,Philadelphia Tribune,Philadelphia,Pa.,12010,Philadelphia,Pennsylvania
7,Valdosta Daily Times,Valdosta,Ga.,12006,Lowndes,Georgia
1,Deer Park Tribune,Deer Park,Wash.,12004,Spokane,Washington
1,Community Voice,Fort Meyers,Fla.,12000,Lee,Florida
1,Walton Sun The,Santa Rosa Beach,Fla.,12000,Walton,Florida
2,News-Leader The,Fernandina Beach,Fla.,12000,Nassau,Florida
1,Savannah Herald,Savannah,Ga.,12000,Chatham,Georgia
1,River Oaks Examiner,River Oaks,Texas,12000,Tarrant,Texas
2,Barrow County News,Winder,Ga.,12000,Barrow,Georgia
1,Malibu Times,Malibu,Calif.,12000,Los Angeles,California
1,Park LaBrea News/Beverly Press,West Hollywood,Calif.,12000,Los Angeles,California
3,Desoto Times-Tribune,Hernando,Miss.,12000,DeSoto,Mississippi
1,Independent,Collierville,Tenn.,12000,Shelby,Tennessee
1,Butler County Banner & Green River Republi,Morgantown,Ky.,12000,Butler,Kentucky
1,Hart County News-Herald,Munfordville,Ky.,12000,Hart,Kentucky
1,Rural Virginian,Charlottesville,Va.,12000,Charlottesville city,Virginia
1,Albermarle Tribune,Charlottesville,Va.,12000,Charlottesville city,Virginia
1,Big Sandy News,Louisa,Ky.,12000,Lawrence,Kentucky
1,Republic-Times,Waterloo,Ill.,12000,Monroe,Illinois
1,Village life,Placerville,Calif.,12000,El Dorado,California
2,Cape Gazette,Lewes,Del.,12000,Sussex,Delaware
1,Jackson Suburbanite,Jackson,Ohio,12000,Jackson,Ohio
1,Community Times,Westminster,Md.,12000,Carroll,Maryland
1,Newark Post,Newark,Del.,12000,New Castle,Delaware
1,Hoboken Reporter,Hoboken,N.J.,12000,Hudson,New Jersey
1,Oberlin News-Tribune,Oberlin,Ohio,12000,Lorain,Ohio
1,Box Elder News Journal,Brigham City,Utah,12000,Box Elder,Utah
1,Mendota Reporter The,Mendota,Ill.,12000,La Salle,Illinois
1,Farmers Advance,Camden,Mich.,12000,Hillsdale,Michigan
1,West Hartford Press,West Hartford,Conn.,12000,Hartford,Connecticut
1,Austin Weekly News,Oak Park,Ill.,12000,Cook,Illinois
1,Town Reminder,South Hadley,Mass.,12000,Hampshire,Massachusetts
1,Needham Times,Needham,Mass.,12000,Norfolk,Massachusetts
1,Blue Water Voice,St Claires,Mich.,12000,St. Clair,Michigan
1,York County Coast Star,Kennebunk,Maine,12000,York,Maine
1,Lake Champlain Weekly,Plattsburgh,N.Y.,12000,Clinton,New York
1,SUNThisweek Apple Valley-Rosemount,Burnsville,Minn.,12000,Dakota,Minnesota
1,West Seattle Herald,Seattle,Wash.,12000,King,Washington
7,Daily Times,Salisbury,Md.,11998,Wicomico,Maryland
1,Willow Grove Guide,Willow Grove,Pa.,11982,Montgomery,Pennsylvania
7,St Augustine Record The,St Augustine,Fla.,11980,St. Johns,Florida
2,Sedona Red Rock News,Sedona,Ariz.,11927,Yavapai,Arizona
7,Goshen News,Goshen,Ind.,11917,Elkhart,Indiana
7,Athens Banner-Herald,Athens,Ga.,11904,Clarke,Georgia
2,Sparta Expositor,Sparta,Tenn.,11900,White,Tennessee
6,Greeneville Sun,Greeneville,Tenn.,11900,Greene,Tennessee
1,Rusk County Community News,Henderson,Texas,11880,Rusk,Texas
1,Gazette,East Hartford,Conn.,11880,Hartford,Connecticut
7,Herald News/ Sunday Herald News,Fall River,Mass.,11877,Bristol,Massachusetts
1,Union Boundary,Tulsa,Okla.,11875,Tulsa,Oklahoma
7,Appeal-Democrat,Marysville,Calif.,11874,Yuba,California
6,Tulare Advance Register,Tulare,Calif.,11868,Tulare,California
6,Times News,Lehighton,Pa.,11861,Carbon,Pennsylvania
7,Journal,Martinsburg,W.Va.,11846,Berkeley,West Virginia
7,Sentinel-Record The,Hot Springs,Ark.,11826,Garland,Arkansas
1,Black Voice News,Riverside,Calif.,11810,Riverside,California
5,Daily News,Palatka,Fla.,11804,Putnam,Florida
1,Alpharetta Neighbor,Alpharetta,Ga.,11802,Fulton,Georgia
1,Citizen,Ortonville,Mich.,11800,Oakland,Michigan
7,Star-Gazette,Elmira,N.Y.,11792,Chemung,New York
1,Grapevine Courier The,Grapevine,Texas,11790,Tarrant,Texas
1,Sherburne County Citizen,Becker,Minn.,11773,Sherburne,Minnesota
1,Your Valley,Utica,N.Y.,11764,Oneida,New York
1,Lake Today,Lake Ozark,Mo.,11759,Miller,Missouri
6,Walla Walla Union-Bulletin,Walla Walla,Wash.,11731,Walla Walla,Washington
6,Peninsula Daily News,Port Angeles,Wash.,11724,Clallam,Washington
6,Daily Nonpareil,Council Bluffs,Iowa,11709,Pottawattamie,Iowa
2,Daily News The,Richmond,Mo.,11700,Ray,Missouri
1,Lake Mills Leader,Lake Mills,Wisc.,11700,Jefferson,Wisconsin
1,Westerly-Pawtucket Express,Westerly,R.I.,11698,Washington,Rhode Island
1,Groton Times,Groton,Conn.,11687,New London,Connecticut
2,Dearborn Press & Guide,Dearborn,Mich.,11684,Wayne,Michigan
1,Woodbury-South Maplewood Review,Woodbury,Minn.,11668,Washington,Minnesota
7,Opelika-Auburn News,Opelika,Ala.,11659,Lee,Alabama
7,Herald-Palladium,St Joseph,Mich.,11659,Berrien,Michigan
1,Putnam County Press,Mahopac,N.Y.,11640,Putnam,New York
1,Lake Oswego Review,Lake Oswego,Ore.,11640,Clackamas,Oregon
1,Eden Prairie News,Eden Prairie,Minn.,11632,Hennepin,Minnesota
7,Spectrum,St George,Utah,11623,Washington,Utah
1,Placer Herald,Rocklin,Calif.,11616,Placer,California
1,Indianapolis Recorder,Indianapolis,Ind.,11615,Marion,Indiana
1,East Hampton Independent,East Hampton,N.Y.,11612,Suffolk,New York
1,East Hampton Star,East Hampton,N.Y.,11612,Suffolk,New York
6,Imperial Valley Press,El Centro,Calif.,11610,Imperial,California
2,Florida Keys Keynoter,Marathon,Fla.,11600,Monroe,Florida
1,Sandersville Progress & Plus,Sandersville,Ga.,11600,Washington,Georgia
6,Roswell Daily Record,Roswell,N.M.,11600,Chaves,New Mexico
1,Lawrence County Record,Mount Vernon,Mo.,11600,Lawrence,Missouri
1,Richfield Reaper,Richfield,Utah,11600,Sevier,Utah
1,Leader-Union,Vandalia,Ill.,11600,Fayette,Illinois
5,Marshall Democrat-News,Marshall,Mo.,11593,Saline,Missouri
1,New Lenox Community Reporter,New Lenox,Ill.,11592,Will,Illinois
1,New Lenox Patriot,New Lenox,Ill.,11592,Will,Illinois
1,Goose Creek Gazette,Goose Creek,S.C.,11583,Berkeley,South Carolina
1,Hacienda Heights Highlander,Hacienda Heights,Calif.,11583,Los Angeles,California
1,Mountain Ear,Conway,N.H.,11583,Carroll,New Hampshire
1,Mountain Times,Boone,N.C.,11546,Watauga,North Carolina
1,Gateway,Floral Park,N.Y.,11524,Nassau,New York
7,Aberdeen American News,Aberdeen,S.D.,11524,Brown,South Dakota
2,White Mountain Independent,Show Low,Ariz.,11511,Navajo,Arizona
1,Lewisville Leader,Lewisville,Texas,11509,Denton,Texas
6,Beloit Daily News,Beloit,Wisc.,11509,Rock,Wisconsin
7,Globe-Gazette/ Sunday Globe,Mason City,Iowa,11506,Cerro Gordo,Iowa
1,Rio Grande Sun,Espanola,N.M.,11500,Rio Arriba,New Mexico
1,West Roxbury Transcript,Boston,Mass.,11500,Suffolk,Massachusetts
1,SnoValley Star,Snoqualmie,Wash.,11500,King,Washington
1,ThisWeek Olentangy Valley News,Powell,Ohio,11487,Delaware,Ohio
1,Bayonne Journal,Jersey City,N.J.,11487,Hudson,New Jersey
6,West Central Tribune,Willmar,Minn.,11477,Kandiyohi,Minnesota
1,Pioneer,Waconia,Minn.,11474,Carver,Minnesota
7,Sun Chronicle,Attleboro,Mass.,11466,Bristol,Massachusetts
1,Liberty Tribune,Liberty,Mo.,11457,Clay,Missouri
1,Walnut Highlander,Walnut,Calif.,11450,Los Angeles,California
6,Herald & News,Klamath Falls,Ore.,11421,Klamath,Oregon
7,Daily American,Somerset,Pa.,11412,Somerset,Pennsylvania
1,Toledo Journal,Toledo,Ohio,11409,Lucas,Ohio
7,Times-News The,Hendersonville,N.C.,11408,Henderson,North Carolina
6,New Jersey Herald,Newton,N.J.,11395,Sussex,New Jersey
1,Murrysville Star,Murrysville,Pa.,11367,Westmoreland,Pennsylvania
1,Washington County Edition,Salem,Ind.,11362,Washington,Indiana
7,Index-Journal,Greenwood,S.C.,11359,Greenwood,South Carolina
1,Marion County News Journal,Marion,S.C.,11355,Marion,South Carolina
1,Pulaski County Mirror,St Robert,Mo.,11350,Pulaski,Missouri
1,Midlothian-Bremen Messenger,Midlothian,Ill.,11306,Cook,Illinois
1,Dade County Sentinel,Trenton,Ga.,11300,Dade,Georgia
1,Rockford Squire,Rockford,Mich.,11300,Kent,Michigan
1,Lewiston-Porter Sentinel,Lewiston,N.Y.,11300,Niagara,New York
7,Morning Sentinel/Sunday Sentinel,Waterville,Maine,11299,Kennebec,Maine
7,Rocky Mount Telegram,Rocky Mount,N.C.,11288,Nash,North Carolina
7,Athens Messenger,Athens,Ohio,11272,Athens,Ohio
1,Wheaton Suburban Life,Wheaton,Ill.,11263,DuPage,Illinois
1,New London Times,New London,Conn.,11261,New London,Connecticut
2,Enterprise,Lexington Park,Md.,11260,St. Marys,Maryland
2,Deer Park Progress/Deer Park Broadcaster,Deer Park,Texas,11258,Harris,Texas
7,Olean Times-Herald,Olean,N.Y.,11246,Cattaraugus,New York
1,Gloucester Mathews Gazette-Journal,Gloucester Courthouse,Va.,11236,Gloucester,Virginia
6,Gazette,Medina,Ohio,11217,Medina,Ohio
1,Westport Minuteman,Westport,Conn.,11215,Fairfield,Connecticut
7,Middletown Journal,Middletown,Ohio,11208,Butler,Ohio
7,Rutland Herald,Rutland,Vt.,11200,Rutland,Vermont
3,Chronicle,Centralia,Wash.,11200,Lewis,Washington
1,Photo Star,Willshire,Ohio,11190,Van Wert,Ohio
1,Passaic Valley Today,Paterson,N.J.,11187,Passaic,New Jersey
6,Daily Journal,Franklin,Ind.,11175,Johnson,Indiana
1,Waconia Patriot,Waconia,Minn.,11168,Carver,Minnesota
1,Pataskala Post,Pataskala,Ohio,11159,Licking,Ohio
1,O Jornal,Fall River,Mass.,11138,Bristol,Massachusetts
1,Valley Voice The,Middlebury,Vt.,11138,Addison,Vermont
7,MetroWest Daily News,Framingham,Mass.,11126,Middlesex,Massachusetts
1,Steuben Courier Advocate The,Bath,N.Y.,11113,Steuben,New York
6,News-Enterprise,Elizabethtown,Ky.,11100,Hardin,Kentucky
1,Hooksett Banner,Hooksett,N.H.,11100,Merrimack,New Hampshire
1,Press Journal,Englewood,N.J.,11081,Bergen,New Jersey
7,Telegraph,Alton,Ill.,11080,Madison,Illinois
2,Greenville Advocate,Greenville,Ala.,11058,Butler,Alabama
1,Western StarThe,Lebanon,Ohio,11048,Warren,Ohio
1,Northside Sun,Jackson,Miss.,11043,Hinds,Mississippi
1,The Times Ledger,Queens,N.Y.,11042,Queens,New York
7,Daily Citizen,Dalton,Ga.,11040,Whitfield,Georgia
1,St Louis Park Sun-Sailor,St Louis Park,Minn.,11037,Hennepin,Minnesota
6,Item,Sumter,S.C.,11026,Sumter,South Carolina
1,Pascack Valley Community Life,Westwood,N.J.,11024,Bergen,New Jersey
7,Advocate,Newark,Ohio,11016,Licking,Ohio
1,Lamorinda Sun,Walknut Creek,Calif.,11010,Contra Costa,California
6,Grants Pass Daily Courier,Grants Pass,Ore.,11010,Josephine,Oregon
1,Brazoria County News,West Columbia,Texas,11000,Brazoria,Texas
1,Ponchatoula Times,Ponchatoula,La.,11000,Tangipahoa Parish,Louisiana
1,West Texas County Courier,Horizon City,Texas,11000,El Paso,Texas
1,Buckeye Valley News,Buckeye,Ariz.,11000,Maricopa,Arizona
1,Columbus Packet,Columbus,Miss.,11000,Lowndes,Mississippi
1,Sentinel Weekly News,Corona,Calif.,11000,Riverside,California
1,Lexington County Chronicle,Lexington,S.C.,11000,Lexington,South Carolina
1,Wilmington Journal,Wilmington,N.C.,11000,New Hanover,North Carolina
7,Today's News-Herald,Lake Havasu City,Ariz.,11000,Mohave,Arizona
3,Appalachian News-Express,Pikeville,Ky.,11000,Pike,Kentucky
1,Oakdale Leader,Oakdale,Calif.,11000,Stanislaus,California
7,Aspen Times,Aspen,Colo.,11000,Pitkin,Colorado
1,Current of Northfield/Linwood/Somers Point,Northfield,N.J.,11000,Atlantic,New Jersey
1,Midweek Reporter,Hoboken,N.J.,11000,Hudson,New Jersey
1,Providence American,Providence,R.I.,11000,Providence,Rhode Island
1,Lombardian,Lombard,Ill.,11000,DuPage,Illinois
1,Kennebunk Post,Kennebunk,Maine,11000,York,Maine
1,SUNThisweek Egan-Burnsville,Burnsville,Minn.,11000,Dakota,Minnesota
1,Duluth-Zenith City Weekly,Duluth,Minn.,11000,St. Louis,Minnesota
7,Daily Independent,Ashland,Ky.,10977,Boyd,Kentucky
3,Martinez News-Gazette,Martinez,Calif.,10949,Contra Costa,California
7,Enid News & Eagle,Enid,Okla.,10944,Garfield,Oklahoma
1,Placentia News-Times,Placentia,Calif.,10941,Orange,California
7,Daily News Leader,Staunton,Va.,10936,Staunton city,Virginia
1,North Kitsap Herald,Poulsbo,Wash.,10935,Kitsap,Washington
7,Star-Beacon,Ashtabula,Ohio,10934,Ashtabula,Ohio
7,Oshkosh Northwestern,Oshkosh,Wisc.,10916,Winnebago,Wisconsin
1,Stillwater Valley Advertiser,Covington,Ohio,10899,Miami,Ohio
1,Queens Ledger,Queens,N.Y.,10890,Queens,New York
1,Addison Eagle News And Reporter,Middlebury,Vt.,10890,Addison,Vermont
1,Fairfield Town Crier,Fairfield,Iowa,10875,Jefferson,Iowa
5,Daily Times Chronicle,Woburn,Mass.,10872,Middlesex,Massachusetts
1,Bethel Journal The,Bethel,Ohio,10835,Clermont,Ohio
1,Forest Hills Journal,Anderson,Ohio,10835,Hamilton,Ohio
1,Eastern Hills Journal,Loveland,Ohio,10835,Hamilton,Ohio
1,Milford-Miami Advertiser,Milford,Ohio,10835,Clermont,Ohio
1,Community Journal Clermont,Loveland,Ohio,10835,Clermont,Ohio
1,Loveland Herald,Loveland,Ohio,10835,Clermont,Ohio
1,Community Journal North Clermont,Loveland,Ohio,10835,Clermont,Ohio
6,Ruston Daily Leader,Ruston,La.,10834,Lincoln Parish,Louisiana
7,Sun Journal The,New Bern,N.C.,10801,Craven,North Carolina
6,Hays Daily News,Hays,Kan.,10782,Ellis,Kansas
1,Kewaunee County Star News,Kewaunee,Wisc.,10760,Kewaunee,Wisconsin
1,Plum Advance Leader Star,Pittsburgh,Pa.,10752,Allegheny,Pennsylvania
6,Holland Sentinel The,Holland,Mich.,10726,Allegan,Michigan
1,Harbor News,Clinton,Conn.,10715,Middlesex,Connecticut
6,Bradford Era The,Bradford,Pa.,10700,Mc Kean,Pennsylvania
1,Advance News,Ogdensburg,N.Y.,10700,St. Lawrence,New York
6,Cleveland Daily Banner,Cleveland,Tenn.,10694,Bradley,Tennessee
1,Smyrna/Vinings Neighbor,Smyrna,Ga.,10692,Cobb,Georgia
1,Kenton Community Recorder,Kenton,Ky.,10692,Kenton,Kentucky
1,Current of Galloway Township,Galloway Township,N.J.,10692,Atlantic,New Jersey
1,Aledo Times Record,Aledo,Ill.,10687,Mercer,Illinois
1,Fostoria Focus,Fostoria,Ohio,10685,Seneca,Ohio
2,News Observer,Blue Ridge,Ga.,10670,Fannin,Georgia
6,Herald,Jasper,Ind.,10665,Dubois,Indiana
7,Montana Standard The,Butte,Mont.,10645,Silver Bow,Montana
2,Livonia Observer,Livonia,Mich.,10637,Wayne,Michigan
2,News Reporter,Whiteville,N.C.,10635,Columbus,North Carolina
1,News of Delaware County,Holmes,Pa.,10630,Delaware,Pennsylvania
1,Shaler Journal,Glenshaw,Pa.,10630,Allegheny,Pennsylvania
7,Times-Mail/ Sunday Hoosiertimes,Bedford,Ind.,10620,Lawrence,Indiana
1,Cliffside Park Citizen,Cliffside Park,N.J.,10618,Bergen,New Jersey
2,Old Colony Memorial,Plymouth,Mass.,10618,Plymouth,Massachusetts
1,Ag Journal,La Junta,Colo.,10611,Otero,Colorado
1,Peshtigo Times,Peshtigo,Wisc.,10603,Marinette,Wisconsin
1,Bee,Phillips,Wisc.,10567,Price,Wisconsin
1,Park Falls Herald,Park Falls,Wisc.,10567,Price,Wisconsin
1,East Haven Courier,East Haven,Conn.,10548,New Haven,Connecticut
6,Wilson Daily Times,Wilson,N.C.,10545,Wilson,North Carolina
2,North Country This Week,Potsdam,N.Y.,10538,St. Lawrence,New York
7,Vail Daily News,Vail,Colo.,10525,Eagle,Colorado
2,Hermiston Herald,Hermiston,Ore.,10522,Umatilla,Oregon
6,Gettysburg Times,Gettysburg,Pa.,10520,Adams,Pennsylvania
1,Powell Valley News Weekender,Pennington Gap,Va.,10514,Lee,Virginia
1,Planter The,Apopka,Fla.,10500,Orange,Florida
3,Lincoln Times-News,Lincolnton,N.C.,10500,Lincoln,North Carolina
1,Caldwell Weekly,Lenoir,N.C.,10500,Caldwell,North Carolina
1,Amelia Bulletin Monitor,Amelia Court House,Va.,10500,Amelia,Virginia
1,Crofton-West County Gazette,Crofton,Md.,10500,Anne Arundel,Maryland
7,Kansas City Star The,Kansas City,Mo.,10500,Jackson,Missouri
1,Kansas City Globe,Kansas City,Mo.,10500,Jackson,Missouri
