days_published,newspaper_name,city,state,total_circulation,county,state_full
1,McLeansboro Times-Leader,McLeansboro,Ill.,3034,Hamilton,Illinois
5,Hope Star,Hope,Ark.,3031,Hempstead,Arkansas
2,Monticello News,Monticello,Fla.,3030,Jefferson,Florida
1,Pierce County Herald,Ellsworth,Wisc.,3028,Pierce,Wisconsin
1,Twin City Journal-Reporter,Gas City,Ind.,3027,Grant,Indiana
1,Onalaska Holmen Courier-Life,Onalaska,Wisc.,3026,La Crosse,Wisconsin
1,Chronicle & Democrat-Voice,Coleman,Texas,3025,Coleman,Texas
1,Cochran Journal,Cochran,Ga.,3025,Bleckley,Georgia
1,Georgia Post,Roberta,Ga.,3025,Crawford,Georgia
1,Wynne Progress,Wynne,Ark.,3025,Cross,Arkansas
1,Delhi Express,Delhi,Calif.,3025,Merced,California
1,Sentinel,Radcliff,Ky.,3025,Hardin,Kentucky
1,Bath County News Outlook,Owingsville,Ky.,3025,Bath,Kentucky
1,Record The,Kansas City,Kan.,3025,Wyandotte,Kansas
1,Messenger-Enterprise,Manti,Utah,3025,Sanpete,Utah
1,Burlington Record,Burlington,Colo.,3025,Kit Carson,Colorado
6,Alliance Times-Herald,Alliance,Neb.,3025,Box Butte,Nebraska
7,Erie Times-News,Erie,Pa.,3025,Erie,Pennsylvania
1,Chetek Alert,Chetek,Wisc.,3020,Barron,Wisconsin
1,Ripon Commonwealth Press,Ripon,Wisc.,3018,Fond du Lac,Wisconsin
1,Citizen Telegram,Rifle,Colo.,3016,Garfield,Colorado
1,Whitehall-Coplay Press,Allentown,Pa.,3014,Lehigh,Pennsylvania
5,Rocky Ford Daily Gazette,Rocky Ford,Colo.,3013,Otero,Colorado
1,Weekly Recorder,Eighty Four,Pa.,3010,Washington,Pennsylvania
1,L'Anse Sentinel,Baraga,Mich.,3007,Baraga,Michigan
1,North Mississippi Herald,Water Valley,Miss.,3002,Yalobusha,Mississippi
1,Falfurrias Facts,Falfurrias,Texas,3000,Brooks,Texas
1,Polk County Press,Mulberry,Fla.,3000,Polk,Florida
1,North Lake Outpost,Umatilla,Fla.,3000,Lake,Florida
1,Putnam County Courier-Journal,Crescent City,Fla.,3000,Putnam,Florida
1,Mamou Acadian Press,Mamou,La.,3000,Evangeline Parish,Louisiana
